timestamp,event_name,event_source,aws_region,source_ip,error_code,label,attack_technique,read_only,user_agent,access_key_id,mfa_authenticated,target_resource,request_params_raw,principal_type,principal_arn,username,session_label,synthetic
2024-01-01 08:00:07+00:00,ListAttachedRolePolicies,iam.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,role-tybugq,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:00:25+00:00,GetAccountSummary,iam.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,role-tzqfre,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:00:28+00:00,ListAccessKeys,iam.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,role-swclqk,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:00:39+00:00,ListBuckets,s3.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,data-jbycug-bucket,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:00:49+00:00,UpdateAssumeRolePolicy,iam.amazonaws.com,us-east-1,24.131.0.245,,1,persistence,False,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,False,role-hmusdt,"{""roleName"": ""role-hmusdt""}",IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:01:41+00:00,AssumeRole,sts.amazonaws.com,us-east-1,24.131.0.245,,1,privilege-escalation,False,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,False,role-hmusdt,"{""roleName"": ""role-hmusdt""}",IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:02:56+00:00,GetUserPolicy,iam.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,False,,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:03:57+00:00,GetBucketLogging,s3.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,data-htqqkg-bucket,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:05:24+00:00,DescribeInstanceInformation,ssm.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,/app/flcvua/config,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:06:01+00:00,GetBucketAcl,s3.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,data-zgfuwk-bucket,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 08:06:50+00:00,GetSecretValue,secretsmanager.amazonaws.com,us-east-1,24.131.0.245,,0,,True,python-requests/2.28.0,AKIAI9JIWKDGX1AXA52L,,prod/db/ljneer,,IAMUser,arn:aws:iam::325967135271:user/qzctcpicnutc,qzctcpicnutc,1,True
2024-01-01 09:00:27+00:00,DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,167.80.236.26,NoSuchLifecycleConfiguration,0,,True,Terraform/1.5.0 aws-sdk-go/1.44.300,AKIATPIO8C6ONORSVD00,,i-qcoobxcabjuatzwuk,,IAMUser,arn:aws:iam::921048676870:user/hyyafj,hyyafj,0,True
2024-01-01 09:02:03+00:00,DescribeSubnets,ec2.amazonaws.com,us-east-1,167.80.236.26,,0,,True,Terraform/1.5.0 aws-sdk-go/1.44.300,AKIATPIO8C6ONORSVD00,,,,IAMUser,arn:aws:iam::921048676870:user/hyyafj,hyyafj,0,True
2024-01-01 09:02:17+00:00,GetRole,iam.amazonaws.com,us-east-1,167.80.236.26,,0,,True,Terraform/1.5.0 aws-sdk-go/1.44.300,AKIATPIO8C6ONORSVD00,,,,IAMUser,arn:aws:iam::921048676870:user/hyyafj,hyyafj,0,True
2024-01-01 09:02:56+00:00,ListFunctions,lambda.amazonaws.com,us-east-1,167.80.236.26,,0,,True,Terraform/1.5.0 aws-sdk-go/1.44.300,AKIATPIO8C6ONORSVD00,,fn-eobppm,,IAMUser,arn:aws:iam::921048676870:user/hyyafj,hyyafj,0,True
