log_id,source_node,target_node,edge_type,label,source_node_degree,edge_interaction_count,source_node_age_normalized,source_privilege_level,source_historical_risk,target_resource_criticality,is_cross_account
synthetic_cloudtrail.csv:0,arn:aws:iam::595963223685:user/twslhu,aws_service,GetRole,0,1,1,0.0,0,0.03,4,0
synthetic_cloudtrail.csv:1,arn:aws:iam::595963223685:user/twslhu,aws_service,GetBucketLogging,0,2,2,0.0007291666666666667,0,0.051,3,0
synthetic_cloudtrail.csv:2,arn:aws:iam::595963223685:user/twslhu,role-jtdcpw,GetRole,0,3,1,0.000925925925925926,0,0.0657,4,0
synthetic_cloudtrail.csv:3,arn:aws:iam::595963223685:user/twslhu,i-uttjrbtmgbutzvsim,DescribeSubnets,0,4,1,0.001990740740740741,0,0.076,3,0
synthetic_cloudtrail.csv:4,arn:aws:iam::595963223685:user/twslhu,aws_service,ListGroupsForUser,0,5,3,0.0020486111111111113,0,0.0832,4,0
synthetic_cloudtrail.csv:5,arn:aws:iam::595963223685:user/twslhu,prod/db/mbbcbs,PutSecretValue,0,6,1,0.0025462962962962965,1,0.0882,5,0
synthetic_cloudtrail.csv:6,arn:aws:iam::595963223685:user/twslhu,aws_service,DescribeSecurityGroups,0,7,4,0.002800925925925926,1,0.0918,3,0
synthetic_cloudtrail.csv:7,arn:aws:iam::595963223685:user/twslhu,alias/incziy,ListKeys,0,8,1,0.0032175925925925926,1,0.0942,5,0
synthetic_cloudtrail.csv:8,arn:aws:iam::595963223685:user/twslhu,aws_service,DescribeSecurityGroups,0,9,5,0.0036689814814814814,1,0.096,3,0
synthetic_cloudtrail.csv:9,arn:aws:iam::595963223685:user/twslhu,wrvhvx,DescribeLoadBalancers,0,10,1,0.004189814814814815,1,0.0972,2,0
synthetic_cloudtrail.csv:10,arn:aws:iam::595963223685:user/twslhu,i-ogipvqkzpeebkworc,DescribeInstances,0,11,1,0.00474537037037037,1,0.128,3,0
synthetic_cloudtrail.csv:11,arn:aws:iam::561474069518:user/zxlzxc,data-yfgbjt-bucket,GetBucketLogging,0,1,1,0.0,0,0.03,3,1
synthetic_cloudtrail.csv:12,arn:aws:iam::890976271776:user/ivedmw,/app/hktaid/config,GetParameter,0,1,1,0.0,0,0.03,2,1
synthetic_cloudtrail.csv:13,arn:aws:iam::890976271776:user/ivedmw,prod/db/uptjdf,PutSecretValue,0,2,1,0.0006712962962962962,1,0.051,5,1
synthetic_cloudtrail.csv:14,arn:aws:iam::561474069518:user/zxlzxc,db-hpztja,ModifyDBInstance,0,2,1,0.0009953703703703704,1,0.051,2,1
synthetic_cloudtrail.csv:15,arn:aws:iam::890976271776:user/ivedmw,/app/nnccqc/config,GetParameter,0,3,1,0.001400462962962963,1,0.0657,2,1
synthetic_cloudtrail.csv:16,arn:aws:iam::561474069518:user/zxlzxc,prod/db/lpsfuo,PutSecretValue,0,3,1,0.0017708333333333332,1,0.0657,5,1
synthetic_cloudtrail.csv:17,arn:aws:iam::890976271776:user/ivedmw,aws_service,DescribeDBInstances,0,4,1,0.001979166666666667,1,0.076,2,1
synthetic_cloudtrail.csv:18,arn:aws:iam::561474069518:user/zxlzxc,db-ezxsfs,DescribeDBInstances,0,4,1,0.0024652777777777776,1,0.076,2,1
synthetic_cloudtrail.csv:19,arn:aws:iam::561474069518:user/zxlzxc,role-zwxypy,ListGroupsForUser,0,5,1,0.002673611111111111,1,0.0832,4,1
synthetic_cloudtrail.csv:20,arn:aws:iam::890976271776:user/ivedmw,data-vomxli-bucket,GetBucketLogging,0,5,1,0.002384259259259259,1,0.0832,3,1
